Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4102;2002_2;96;102,3437444
gebrauchte Eigenheime;4102;2002_3;70;99,96100214
gebrauchte Eigenheime;4102;2002_4;89;100,9236906
gebrauchte Eigenheime;4102;2003_1;73;101,5613341
gebrauchte Eigenheime;4102;2003_2;91;101,8620232
gebrauchte Eigenheime;4102;2003_3;82;100,9592897
gebrauchte Eigenheime;4102;2003_4;69;100,1399727
gebrauchte Eigenheime;4102;2004_1;102;100,687758
gebrauchte Eigenheime;4102;2004_2;93;99,28548226
gebrauchte Eigenheime;4102;2004_3;100;98,23152871
gebrauchte Eigenheime;4102;2004_4;65;98,27742904
gebrauchte Eigenheime;4102;2005_1;124;98,80607064
gebrauchte Eigenheime;4102;2005_2;98,5;99,75804174
gebrauchte Eigenheime;4102;2005_3;73;98,78583079
gebrauchte Eigenheime;4102;2005_4;125;98,52231473
gebrauchte Eigenheime;4102;2006_1;74,5;100,7930018
gebrauchte Eigenheime;4102;2006_2;88,5;102,3649628
gebrauchte Eigenheime;4102;2006_3;119,5;101,3790694
gebrauchte Eigenheime;4102;2006_4;88;100,5430197
gebrauchte Eigenheime;4102;2007_1;142;100,1276478
gebrauchte Eigenheime;4102;2007_2;146;99,87711086
gebrauchte Eigenheime;4102;2007_3;110;100,5449374
gebrauchte Eigenheime;4102;2007_4;95,5;100,4103914
gebrauchte Eigenheime;4102;2008_1;156,5;98,87002334
gebrauchte Eigenheime;4102;2008_2;195,5;98,45670941
gebrauchte Eigenheime;4102;2008_3;128,5;99,20304071
gebrauchte Eigenheime;4102;2008_4;125,5;99,56331726
gebrauchte Eigenheime;4102;2009_1;163;99,8498516
gebrauchte Eigenheime;4102;2009_2;169;100,3824555
gebrauchte Eigenheime;4102;2009_3;132;99,84245579
gebrauchte Eigenheime;4102;2009_4;114;98,67103931
gebrauchte Eigenheime;4102;2010_1;215,6666667;100
gebrauchte Eigenheime;4102;2010_2;173,3333333;102,411997
gebrauchte Eigenheime;4102;2010_3;126;103,3591619
gebrauchte Eigenheime;4102;2010_4;136,3333333;102,9221014
gebrauchte Eigenheime;4102;2011_1;134,5;102,8617686
gebrauchte Eigenheime;4102;2011_2;159,5;102,7357031
gebrauchte Eigenheime;4102;2011_3;152;102,2957264
gebrauchte Eigenheime;4102;2011_4;162,5;102,9149013
gebrauchte Eigenheime;4102;2012_1;186;103,7810274
gebrauchte Eigenheime;4102;2012_2;194,5;104,3230747
gebrauchte Eigenheime;4102;2012_3;224;105,7169269
gebrauchte Eigenheime;4102;2012_4;186;106,8616157
gebrauchte Eigenheime;4102;2013_1;224,5;107,5355839
gebrauchte Eigenheime;4102;2013_2;280,5;108,3549158
gebrauchte Eigenheime;4102;2013_3;265,5;109,2986254
gebrauchte Eigenheime;4102;2013_4;268;110,3577126
gebrauchte Eigenheime;4102;2014_1;239;110,8773789
gebrauchte Eigenheime;4102;2014_2;217;111,819665
gebrauchte Eigenheime;4102;2014_3;203;112,8644991
gebrauchte Eigenheime;4102;2014_4;187,5;112,3578562
gebrauchte Eigenheime;4102;2015_1;201;113,2904253
